Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-07-22,D,Digicontent Ord Shs,10.8,11.0,10.35,11.0,98364,0
2019-07-23,D,Digicontent Ord Shs,11.0,11.0,10.6,10.7,3129,0
2019-07-24,D,Digicontent Ord Shs,10.7,10.7,9.5,10.7,1769,1
2019-07-25,D,Digicontent Ord Shs,9.55,11.0,9.55,10.3,6911,0
2019-07-26,D,Digicontent Ord Shs,10.25,11.0,9.5,10.25,4945,1
2019-07-29,D,Digicontent Ord Shs,9.55,10.5,9.55,10.05,4392,0
2019-07-30,D,Digicontent Ord Shs,10.05,10.95,8.05,8.8,37244,0
2019-07-31,D,Digicontent Ord Shs,8.3,8.95,8.05,8.3,6649,1
2019-08-01,D,Digicontent Ord Shs,8.3,9.0,7.9,8.6,3092,0
2019-08-02,D,Digicontent Ord Shs,7.8,9.0,7.75,7.85,10435,0
2019-08-05,D,Digicontent Ord Shs,7.5,8.5,7.4,7.95,3651,0
2019-08-06,D,Digicontent Ord Shs,7.3,8.7,7.3,8.45,2250,0
2019-08-07,D,Digicontent Ord Shs,8.45,9.25,7.7,8.5,7673,0
2019-08-08,D,Digicontent Ord Shs,8.5,9.0,8.0,8.05,5500,0
2019-08-09,D,Digicontent Ord Shs,8.0,8.5,8.0,8.05,1206,0
2019-08-13,D,Digicontent Ord Shs,8.05,8.8,7.4,8.05,32092,1
2019-08-14,D,Digicontent Ord Shs,8.0,8.0,7.35,7.8,2624,0
2019-08-16,D,Digicontent Ord Shs,7.1,8.0,7.1,7.8,132765,0
2019-08-19,D,Digicontent Ord Shs,7.75,7.75,7.2,7.25,5833,0
2019-08-20,D,Digicontent Ord Shs,7.1,7.95,6.8,7.6,9520,0
2019-08-21,D,Digicontent Ord Shs,7.5,7.6,7.0,7.5,15171,1
2019-08-22,D,Digicontent Ord Shs,6.85,7.3,6.75,6.9,5945,0
2019-08-23,D,Digicontent Ord Shs,6.45,6.95,6.25,6.3,2396,0
2019-08-26,D,Digicontent Ord Shs,6.3,6.5,6.0,6.35,1523,0
2019-08-27,D,Digicontent Ord Shs,6.35,6.35,5.75,5.85,136236,0
2019-08-28,D,Digicontent Ord Shs,5.75,6.1,5.65,6.05,24856,0
2019-08-29,D,Digicontent Ord Shs,6.05,6.35,6.0,6.25,43252,0
2019-08-30,D,Digicontent Ord Shs,6.0,6.35,5.95,5.95,5745,0
2019-09-03,D,Digicontent Ord Shs,5.7,6.0,5.7,5.8,784,0
2019-09-04,D,Digicontent Ord Shs,5.8,6.05,5.6,6.05,2579,0
2019-09-05,D,Digicontent Ord Shs,6.05,6.35,5.75,6.35,516473,0
2019-09-06,D,Digicontent Ord Shs,6.35,6.35,6.05,6.35,935547,1
2019-09-09,D,Digicontent Ord Shs,6.5,6.65,6.35,6.35,56051,0
2019-09-11,D,Digicontent Ord Shs,6.65,6.65,6.35,6.4,55811,0
2019-09-12,D,Digicontent Ord Shs,6.5,6.5,6.1,6.1,6136,0
2019-09-13,D,Digicontent Ord Shs,5.8,6.2,5.8,5.8,31276,1
2019-09-16,D,Digicontent Ord Shs,6.05,6.05,5.55,5.75,20851,0
2019-09-17,D,Digicontent Ord Shs,5.75,5.8,5.55,5.75,6381,1
2019-09-18,D,Digicontent Ord Shs,5.75,6.0,5.65,5.95,4018,0
2019-09-19,D,Digicontent Ord Shs,5.95,6.0,5.7,5.95,10519,1
2019-09-20,D,Digicontent Ord Shs,6.05,6.2,5.85,6.05,70919,1
2019-09-23,D,Digicontent Ord Shs,5.8,6.35,5.75,5.95,20769,0
2019-09-24,D,Digicontent Ord Shs,5.7,6.1,5.7,6.05,12991,0
2019-09-25,D,Digicontent Ord Shs,6.15,6.15,5.85,5.95,33792,0
2019-09-26,D,Digicontent Ord Shs,5.7,5.95,5.7,5.8,8465,0
2019-09-27,D,Digicontent Ord Shs,5.7,6.0,5.7,5.85,1140,0
2019-09-30,D,Digicontent Ord Shs,5.85,6.0,5.85,5.9,3022,0
2019-10-01,D,Digicontent Ord Shs,5.75,5.9,5.65,5.8,14702,0
2019-10-03,D,Digicontent Ord Shs,5.55,6.0,5.55,5.6,9184,0
2019-10-04,D,Digicontent Ord Shs,5.55,5.85,5.55,5.8,242,0
2019-10-07,D,Digicontent Ord Shs,5.8,6.0,5.6,5.85,8548,0
2019-10-09,D,Digicontent Ord Shs,5.65,5.95,5.6,5.65,8665,1
2019-10-10,D,Digicontent Ord Shs,5.4,5.85,5.4,5.75,12271,0
2019-10-11,D,Digicontent Ord Shs,5.55,5.55,5.5,5.5,215756,0
2019-10-14,D,Digicontent Ord Shs,5.5,5.5,5.25,5.25,139257,0
2019-10-15,D,Digicontent Ord Shs,5.25,5.25,5.0,5.05,103768,0
2019-10-16,D,Digicontent Ord Shs,4.85,5.15,4.8,5.15,36756,0
2019-10-17,D,Digicontent Ord Shs,5.15,5.4,4.9,5.0,16316,0
2019-10-18,D,Digicontent Ord Shs,4.9,5.25,4.75,4.75,9485,0
2019-10-22,D,Digicontent Ord Shs,4.55,4.9,4.55,4.75,2324,0
2019-10-23,D,Digicontent Ord Shs,4.55,4.95,4.55,4.8,3954,0
2019-10-24,D,Digicontent Ord Shs,4.9,5.0,4.9,5.0,5522,0
2019-10-25,D,Digicontent Ord Shs,4.9,5.0,4.75,4.75,1237,0
2019-10-27,D,Digicontent Ord Shs,4.75,4.75,4.75,4.75,804,1
2019-10-29,D,Digicontent Ord Shs,4.55,4.95,4.55,4.7,1796,0
2019-10-30,D,Digicontent Ord Shs,4.5,4.9,4.5,4.9,4709,0
2019-10-31,D,Digicontent Ord Shs,4.8,5.1,4.75,4.8,9073,1
2019-11-01,D,Digicontent Ord Shs,4.8,5.0,4.65,5.0,22047,0
2019-11-04,D,Digicontent Ord Shs,4.8,5.0,4.75,4.75,74774,0
2019-11-05,D,Digicontent Ord Shs,4.6,4.6,4.55,4.55,3883,0
2019-11-06,D,Digicontent Ord Shs,4.5,4.5,4.35,4.35,4405,0
2019-11-07,D,Digicontent Ord Shs,4.25,4.45,4.15,4.3,16256,0
2019-11-08,D,Digicontent Ord Shs,4.3,4.5,4.3,4.3,2678,1
2019-11-11,D,Digicontent Ord Shs,4.5,4.5,4.3,4.4,7586,0
2019-11-13,D,Digicontent Ord Shs,4.5,4.5,4.2,4.2,154331,0
2019-11-14,D,Digicontent Ord Shs,4.0,4.1,4.0,4.0,110090,1
2019-11-15,D,Digicontent Ord Shs,3.8,3.95,3.8,3.8,266141,1
2019-11-18,D,Digicontent Ord Shs,3.95,3.95,3.65,3.65,241174,0
2019-11-19,D,Digicontent Ord Shs,3.5,3.7,3.5,3.5,611707,1
2019-11-20,D,Digicontent Ord Shs,3.4,3.4,3.35,3.35,592205,0
2019-11-21,D,Digicontent Ord Shs,3.2,3.2,3.2,3.2,216186,1
2019-11-22,D,Digicontent Ord Shs,3.05,3.35,3.05,3.35,1231763,0
2019-11-25,D,Digicontent Ord Shs,3.5,3.5,3.5,3.5,7352,1
2019-11-26,D,Digicontent Ord Shs,3.65,3.65,3.65,3.65,171707,1
2019-11-27,D,Digicontent Ord Shs,3.8,3.8,3.8,3.8,102980,1
2019-11-28,D,Digicontent Ord Shs,3.95,3.95,3.95,3.95,984,1
2019-11-29,D,Digicontent Ord Shs,4.1,4.1,4.1,4.1,9731,1
2019-12-02,D,Digicontent Ord Shs,4.3,4.3,4.3,4.3,4991,1
2019-12-03,D,Digicontent Ord Shs,4.5,4.5,4.5,4.5,15445,1
2019-12-04,D,Digicontent Ord Shs,4.7,4.7,4.7,4.7,2019,1
2019-12-05,D,Digicontent Ord Shs,4.9,4.9,4.9,4.9,3358,1
2019-12-06,D,Digicontent Ord Shs,5.1,5.1,5.1,5.1,1534,1
2019-12-09,D,Digicontent Ord Shs,5.35,5.35,5.35,5.35,1949,1
2019-12-10,D,Digicontent Ord Shs,5.6,5.6,5.6,5.6,1601,1
2019-12-11,D,Digicontent Ord Shs,5.85,5.85,5.35,5.85,180784,1
2019-12-12,D,Digicontent Ord Shs,5.85,6.1,5.6,6.1,86310,0
2019-12-13,D,Digicontent Ord Shs,6.35,6.4,5.95,6.4,89313,0
2019-12-16,D,Digicontent Ord Shs,6.7,6.7,6.1,6.1,247945,0
2019-12-17,D,Digicontent Ord Shs,5.8,6.05,5.8,5.9,55138,0
2019-12-18,D,Digicontent Ord Shs,5.85,5.85,5.65,5.65,6979,0
2019-12-19,D,Digicontent Ord Shs,5.5,5.5,5.4,5.4,3648,0
2019-12-20,D,Digicontent Ord Shs,5.65,5.65,5.4,5.65,3633,1
2019-12-23,D,Digicontent Ord Shs,5.7,5.9,5.4,5.5,4278,0
2019-12-24,D,Digicontent Ord Shs,5.5,5.75,5.25,5.4,9776,0
2019-12-26,D,Digicontent Ord Shs,5.15,5.65,5.15,5.65,6437,0
2019-12-27,D,Digicontent Ord Shs,5.55,5.9,5.4,5.6,10741,0
2019-12-30,D,Digicontent Ord Shs,5.7,5.85,5.4,5.85,2579,0
2019-12-31,D,Digicontent Ord Shs,6.1,6.1,5.6,5.85,4576,0
2020-01-01,D,Digicontent Ord Shs,5.6,6.1,5.6,6.05,5497,0
2020-01-02,D,Digicontent Ord Shs,5.8,6.05,5.75,5.75,5981,0
2020-01-03,D,Digicontent Ord Shs,6.0,6.0,5.75,5.75,13103,0
2020-01-06,D,Digicontent Ord Shs,6.0,6.0,5.5,5.6,17974,0
2020-01-07,D,Digicontent Ord Shs,5.4,5.85,5.4,5.6,1379,0
2020-01-08,D,Digicontent Ord Shs,5.5,5.85,5.5,5.6,3705,0
2020-01-09,D,Digicontent Ord Shs,5.85,5.85,5.75,5.75,4132,0
2020-01-10,D,Digicontent Ord Shs,6.0,6.0,5.7,6.0,8213,1
2020-01-13,D,Digicontent Ord Shs,6.25,6.25,5.7,6.0,14893,0
2020-01-14,D,Digicontent Ord Shs,5.7,6.15,5.7,6.0,3840,0
2020-01-15,D,Digicontent Ord Shs,5.7,6.0,5.7,6.0,4200,0
2020-01-16,D,Digicontent Ord Shs,6.0,6.0,5.7,6.0,4465,1
2020-01-17,D,Digicontent Ord Shs,5.7,5.95,5.7,5.75,2023,0
2020-01-20,D,Digicontent Ord Shs,5.5,5.95,5.5,5.55,965,0
2020-01-21,D,Digicontent Ord Shs,5.55,5.8,5.3,5.75,5276,0
2020-01-22,D,Digicontent Ord Shs,5.8,6.0,5.6,6.0,10108,0
2020-01-23,D,Digicontent Ord Shs,5.85,6.15,5.7,6.0,16696,0
2020-01-24,D,Digicontent Ord Shs,6.15,6.15,5.7,5.7,6580,0
2020-01-27,D,Digicontent Ord Shs,5.45,5.95,5.45,5.55,740,0
2020-01-28,D,Digicontent Ord Shs,5.5,5.8,5.35,5.4,3064,0
2020-01-29,D,Digicontent Ord Shs,5.45,5.65,5.45,5.5,3466,0
2020-01-30,D,Digicontent Ord Shs,5.5,5.75,5.3,5.35,379,0
2020-01-31,D,Digicontent Ord Shs,5.1,5.6,5.1,5.6,1604,0
2020-02-01,D,Digicontent Ord Shs,5.6,5.6,5.35,5.35,681,0
2020-02-03,D,Digicontent Ord Shs,5.1,5.5,5.1,5.4,726,0
2020-02-04,D,Digicontent Ord Shs,5.15,5.4,5.15,5.4,1561,0
2020-02-05,D,Digicontent Ord Shs,5.15,5.5,5.15,5.2,3373,0
2020-02-06,D,Digicontent Ord Shs,5.0,5.45,5.0,5.0,1236,1
2020-02-07,D,Digicontent Ord Shs,4.8,4.8,4.75,4.75,1423,0
2020-02-10,D,Digicontent Ord Shs,4.7,4.7,4.55,4.6,1623,0
2020-02-11,D,Digicontent Ord Shs,4.45,4.8,4.45,4.45,1399,1
2020-02-12,D,Digicontent Ord Shs,4.3,4.65,4.3,4.65,1636,0
2020-02-13,D,Digicontent Ord Shs,4.45,4.85,4.45,4.85,4034,0
2020-02-14,D,Digicontent Ord Shs,4.7,5.05,4.7,4.8,2674,0
2020-02-17,D,Digicontent Ord Shs,4.6,5.0,4.6,5.0,1887,0
2020-02-18,D,Digicontent Ord Shs,5.0,5.0,4.75,4.75,3615,0
2020-02-19,D,Digicontent Ord Shs,4.95,4.95,4.75,4.95,2204,1
2020-02-20,D,Digicontent Ord Shs,4.95,5.0,4.75,4.95,11049,1
2020-02-24,D,Digicontent Ord Shs,4.75,5.15,4.75,4.95,8599,0
2020-02-25,D,Digicontent Ord Shs,4.85,4.9,4.85,4.9,3881,0
2020-02-26,D,Digicontent Ord Shs,4.7,5.1,4.7,5.1,2881,0
2020-02-27,D,Digicontent Ord Shs,5.1,5.1,4.85,4.85,3876,0
2020-02-28,D,Digicontent Ord Shs,4.85,4.85,4.85,4.85,1612,1
2020-03-02,D,Digicontent Ord Shs,4.85,5.05,4.85,5.0,2597,0
2020-03-03,D,Digicontent Ord Shs,4.75,5.25,4.75,5.25,4215,0
2020-03-04,D,Digicontent Ord Shs,5.0,5.5,5.0,5.0,2559,1
2020-03-05,D,Digicontent Ord Shs,4.8,5.0,4.8,5.0,688,0
2020-03-06,D,Digicontent Ord Shs,4.75,5.0,4.75,4.85,3248,0
2020-03-09,D,Digicontent Ord Shs,4.65,4.65,4.65,4.65,3056,1
2020-03-11,D,Digicontent Ord Shs,4.45,4.65,4.45,4.5,61692,0
2020-03-12,D,Digicontent Ord Shs,4.5,4.7,4.3,4.7,47666,0
2020-03-13,D,Digicontent Ord Shs,4.5,4.9,4.5,4.65,42870,0
2020-03-16,D,Digicontent Ord Shs,4.45,4.7,4.45,4.65,19720,0
2020-03-17,D,Digicontent Ord Shs,4.5,4.85,4.5,4.7,13562,0
2020-03-18,D,Digicontent Ord Shs,4.5,4.5,4.5,4.5,9965,1
2020-03-19,D,Digicontent Ord Shs,4.3,4.55,4.3,4.3,15712,1
2020-03-20,D,Digicontent Ord Shs,4.3,4.5,4.1,4.1,16468,0
2020-03-23,D,Digicontent Ord Shs,4.1,4.1,3.9,4.1,1799,1
2020-03-24,D,Digicontent Ord Shs,3.9,4.1,3.9,3.95,575,0
2020-03-25,D,Digicontent Ord Shs,3.85,4.0,3.8,3.8,3025,0
2020-03-26,D,Digicontent Ord Shs,3.7,3.7,3.65,3.7,628,1
2020-03-27,D,Digicontent Ord Shs,3.7,3.85,3.7,3.85,5135,0
2020-03-30,D,Digicontent Ord Shs,3.7,4.0,3.7,4.0,5891,0
2020-03-31,D,Digicontent Ord Shs,3.95,4.2,3.8,4.2,1969,0
2020-04-01,D,Digicontent Ord Shs,4.4,4.4,4.0,4.25,250,0
2020-04-03,D,Digicontent Ord Shs,4.1,4.45,4.05,4.35,5985,0
2020-04-07,D,Digicontent Ord Shs,4.45,4.5,4.15,4.25,6031,0
2020-04-08,D,Digicontent Ord Shs,4.25,4.45,4.05,4.05,25945,0
2020-04-09,D,Digicontent Ord Shs,4.15,4.25,3.85,4.25,3337,0
2020-04-13,D,Digicontent Ord Shs,4.05,4.45,4.05,4.3,208,0
2020-04-15,D,Digicontent Ord Shs,4.1,4.5,4.1,4.45,5313,0
2020-04-16,D,Digicontent Ord Shs,4.45,4.65,4.25,4.25,6592,0
2020-04-17,D,Digicontent Ord Shs,4.1,4.25,4.1,4.25,157,0
2020-04-20,D,Digicontent Ord Shs,4.2,4.45,4.15,4.35,22273,0
2020-04-21,D,Digicontent Ord Shs,4.15,4.55,4.15,4.15,7986,1
2020-04-22,D,Digicontent Ord Shs,4.2,4.25,4.2,4.25,662,0
2020-04-23,D,Digicontent Ord Shs,4.2,4.45,4.15,4.45,3027,0
2020-04-24,D,Digicontent Ord Shs,4.45,4.65,4.25,4.65,3239,0
2020-04-27,D,Digicontent Ord Shs,4.65,4.85,4.45,4.65,7609,1
2020-04-28,D,Digicontent Ord Shs,4.5,4.85,4.45,4.6,4974,0
2020-04-29,D,Digicontent Ord Shs,4.5,4.7,4.4,4.55,16761,0
2020-04-30,D,Digicontent Ord Shs,4.4,4.75,4.35,4.65,12593,0
2020-05-04,D,Digicontent Ord Shs,4.45,4.85,4.45,4.85,17126,0
2020-05-05,D,Digicontent Ord Shs,5.05,5.05,4.75,5.05,5885,1
2020-05-06,D,Digicontent Ord Shs,5.3,5.3,5.0,5.3,26719,1
2020-05-07,D,Digicontent Ord Shs,5.55,5.55,5.05,5.1,25039,0
2020-05-08,D,Digicontent Ord Shs,5.0,5.0,4.85,4.85,2903,0
2020-05-11,D,Digicontent Ord Shs,4.7,5.05,4.65,4.65,4286,0
2020-05-12,D,Digicontent Ord Shs,4.5,4.75,4.45,4.45,2862,0
2020-05-13,D,Digicontent Ord Shs,4.45,4.65,4.35,4.45,14815,1
2020-05-14,D,Digicontent Ord Shs,4.45,4.65,4.25,4.5,2282,0
2020-05-15,D,Digicontent Ord Shs,4.5,4.7,4.35,4.7,4053,0
2020-05-18,D,Digicontent Ord Shs,4.55,4.85,4.55,4.7,1354,0
2020-05-19,D,Digicontent Ord Shs,4.8,4.9,4.7,4.9,4416,0
2020-05-20,D,Digicontent Ord Shs,4.9,5.1,4.7,5.1,7534,0
2020-05-21,D,Digicontent Ord Shs,5.2,5.35,5.1,5.2,5824,1
2020-05-22,D,Digicontent Ord Shs,5.0,5.45,4.95,5.4,14683,0
2020-05-26,D,Digicontent Ord Shs,5.4,5.4,5.2,5.4,582,1
2020-05-27,D,Digicontent Ord Shs,5.4,5.65,5.15,5.2,13068,0
2020-05-28,D,Digicontent Ord Shs,5.0,5.35,5.0,5.05,4981,0
2020-05-29,D,Digicontent Ord Shs,5.3,5.3,5.0,5.05,11273,0
2020-06-01,D,Digicontent Ord Shs,5.0,5.3,5.0,5.0,4339,1
2020-06-02,D,Digicontent Ord Shs,4.75,5.25,4.75,5.2,4398,0
2020-06-03,D,Digicontent Ord Shs,5.25,5.25,4.95,5.15,88560,0
2020-06-04,D,Digicontent Ord Shs,5.35,5.4,5.0,5.0,14578,0
2020-06-05,D,Digicontent Ord Shs,5.1,5.25,4.85,5.0,8323,0
2020-06-08,D,Digicontent Ord Shs,5.0,5.25,4.75,4.9,19789,0
2020-06-09,D,Digicontent Ord Shs,5.1,5.1,4.8,5.05,22615,0
2020-06-10,D,Digicontent Ord Shs,5.25,5.3,5.05,5.3,7386,0
2020-06-11,D,Digicontent Ord Shs,5.55,5.55,5.35,5.35,26357,0
2020-06-12,D,Digicontent Ord Shs,5.3,5.6,5.1,5.55,5376,0
2020-06-15,D,Digicontent Ord Shs,5.6,5.8,5.5,5.8,579307,0
2020-06-16,D,Digicontent Ord Shs,5.95,6.05,5.55,5.55,185239,0
2020-06-17,D,Digicontent Ord Shs,5.3,5.65,5.3,5.6,10261,0
2020-06-18,D,Digicontent Ord Shs,5.8,5.8,5.45,5.6,10554,0
2020-06-19,D,Digicontent Ord Shs,5.4,5.85,5.4,5.7,18121,0
2020-06-22,D,Digicontent Ord Shs,5.7,5.7,5.5,5.6,8586,0
2020-06-23,D,Digicontent Ord Shs,5.75,5.8,5.45,5.5,13811,0
2020-06-24,D,Digicontent Ord Shs,5.7,5.75,5.4,5.45,16751,0
2020-06-25,D,Digicontent Ord Shs,5.45,5.7,5.4,5.6,5664,0
2020-06-26,D,Digicontent Ord Shs,5.7,5.85,5.65,5.85,29593,0
2020-06-29,D,Digicontent Ord Shs,6.1,6.1,5.7,6.1,27451,1
2020-06-30,D,Digicontent Ord Shs,6.4,6.4,6.4,6.4,5841,1
2020-07-01,D,Digicontent Ord Shs,6.7,6.7,6.7,6.7,4760,1
2020-07-02,D,Digicontent Ord Shs,7.0,7.0,7.0,7.0,1638,1
2020-07-03,D,Digicontent Ord Shs,7.35,7.35,7.35,7.35,9461,1
2020-07-06,D,Digicontent Ord Shs,7.7,7.7,7.7,7.7,5901,1
2020-07-07,D,Digicontent Ord Shs,8.05,8.05,7.35,8.05,65583,1
2020-07-08,D,Digicontent Ord Shs,8.45,8.45,7.65,8.35,108034,0
2020-07-09,D,Digicontent Ord Shs,8.65,8.65,7.95,7.95,28088,0
2020-07-10,D,Digicontent Ord Shs,8.2,8.3,7.75,8.15,49598,0
2020-07-13,D,Digicontent Ord Shs,7.75,8.15,7.75,7.75,29373,1
2020-07-14,D,Digicontent Ord Shs,7.45,7.7,7.4,7.45,4594,1
2020-07-15,D,Digicontent Ord Shs,7.3,7.45,7.1,7.15,8899,0
2020-07-16,D,Digicontent Ord Shs,6.85,7.4,6.85,7.35,7007,0
2020-07-17,D,Digicontent Ord Shs,7.0,7.7,7.0,7.5,22410,0
2020-07-20,D,Digicontent Ord Shs,7.25,7.85,7.25,7.4,11514,0
2020-07-21,D,Digicontent Ord Shs,7.35,7.75,7.05,7.25,11431,0
2020-07-22,D,Digicontent Ord Shs,6.9,7.55,6.9,6.9,14121,1
2020-07-23,D,Digicontent Ord Shs,7.1,7.2,6.6,6.65,7725,0
2020-07-24,D,Digicontent Ord Shs,6.6,6.6,6.35,6.4,5023,0
2020-07-27,D,Digicontent Ord Shs,6.1,6.4,6.1,6.4,1527,0
2020-07-28,D,Digicontent Ord Shs,6.1,6.4,6.1,6.1,541,1
2020-07-29,D,Digicontent Ord Shs,5.9,6.4,5.8,5.8,7193,0
2020-07-30,D,Digicontent Ord Shs,5.8,5.8,5.55,5.55,15871,0
2020-07-31,D,Digicontent Ord Shs,5.3,5.4,5.3,5.3,38181,1
2020-08-03,D,Digicontent Ord Shs,5.3,5.55,5.05,5.55,208812,0
2020-08-04,D,Digicontent Ord Shs,5.8,5.8,5.8,5.8,4979,1
2020-08-05,D,Digicontent Ord Shs,6.0,6.05,6.0,6.05,8038,0
2020-08-06,D,Digicontent Ord Shs,6.35,6.35,5.75,6.1,44727,0
2020-08-07,D,Digicontent Ord Shs,6.35,6.4,6.35,6.4,8229,0
2020-08-10,D,Digicontent Ord Shs,6.4,6.65,6.2,6.2,5933,0
2020-08-11,D,Digicontent Ord Shs,6.4,6.5,6.35,6.5,21925,0
2020-08-12,D,Digicontent Ord Shs,6.8,6.8,6.3,6.65,6093,0
2020-08-13,D,Digicontent Ord Shs,6.45,6.95,6.45,6.95,5194,0
2020-08-14,D,Digicontent Ord Shs,7.2,7.25,6.8,7.2,34630,1
2020-08-17,D,Digicontent Ord Shs,7.45,7.5,6.85,7.4,56411,0
2020-08-18,D,Digicontent Ord Shs,7.1,7.75,7.1,7.75,8187,0
2020-08-19,D,Digicontent Ord Shs,7.75,8.1,7.5,8.1,13184,0
2020-08-20,D,Digicontent Ord Shs,8.15,8.5,7.95,8.5,23798,0
2020-08-21,D,Digicontent Ord Shs,8.5,8.9,8.4,8.45,158385,0
2020-08-24,D,Digicontent Ord Shs,8.2,8.85,8.1,8.85,22538,0
2020-08-25,D,Digicontent Ord Shs,9.05,9.25,8.85,9.2,127918,0
2020-08-26,D,Digicontent Ord Shs,9.65,9.65,9.05,9.6,45562,0
2020-08-27,D,Digicontent Ord Shs,10.0,10.05,9.6,9.95,69313,0
2020-08-28,D,Digicontent Ord Shs,10.2,10.4,9.5,9.5,19352,0
2020-08-31,D,Digicontent Ord Shs,9.95,9.95,9.05,9.05,47781,0
2020-09-01,D,Digicontent Ord Shs,9.15,9.15,8.6,8.6,6440,0
2020-09-02,D,Digicontent Ord Shs,8.55,8.8,8.2,8.2,13302,0
2020-09-03,D,Digicontent Ord Shs,8.25,8.6,7.9,8.6,10475,0
2020-09-04,D,Digicontent Ord Shs,9.0,9.0,9.0,9.0,11664,1
2020-09-07,D,Digicontent Ord Shs,9.45,9.45,9.45,9.45,1491,1
2020-09-08,D,Digicontent Ord Shs,9.7,9.9,9.7,9.9,18276,0
2020-09-09,D,Digicontent Ord Shs,10.35,10.35,10.35,10.35,17646,1
2020-09-10,D,Digicontent Ord Shs,10.85,10.85,10.85,10.85,6918,1
2020-09-11,D,Digicontent Ord Shs,11.35,11.35,11.35,11.35,3036,1
2020-09-14,D,Digicontent Ord Shs,11.9,11.9,11.9,11.9,4538,1
2020-09-15,D,Digicontent Ord Shs,12.45,12.45,11.75,12.45,77650,1
2020-09-16,D,Digicontent Ord Shs,13.05,13.05,13.05,13.05,4893,1
2020-09-17,D,Digicontent Ord Shs,13.7,13.7,13.7,13.7,34511,1
2020-09-18,D,Digicontent Ord Shs,14.35,14.35,13.05,13.4,99210,0
2020-09-21,D,Digicontent Ord Shs,12.75,13.35,12.75,12.75,108809,1
2020-09-22,D,Digicontent Ord Shs,12.5,12.75,12.15,12.15,57487,0
2020-09-23,D,Digicontent Ord Shs,11.55,12.75,11.55,12.5,39644,0
2020-09-24,D,Digicontent Ord Shs,11.9,12.45,11.9,12.0,2184,0
2020-09-25,D,Digicontent Ord Shs,12.55,12.6,11.4,12.3,11661,0
2020-09-28,D,Digicontent Ord Shs,11.8,12.9,11.7,12.9,11480,0
2020-09-29,D,Digicontent Ord Shs,13.4,13.5,12.4,13.5,21993,0
2020-09-30,D,Digicontent Ord Shs,14.15,14.15,13.25,14.15,33863,1
2020-10-01,D,Digicontent Ord Shs,14.85,14.85,13.7,13.95,23511,0
2020-10-05,D,Digicontent Ord Shs,13.7,14.0,13.3,13.4,7601,0
2020-10-06,D,Digicontent Ord Shs,13.4,14.0,12.85,13.8,14352,0
2020-10-07,D,Digicontent Ord Shs,13.15,13.2,13.15,13.15,5090,1
2020-10-08,D,Digicontent Ord Shs,12.5,13.15,12.5,12.5,5516,1
2020-10-09,D,Digicontent Ord Shs,12.0,13.1,12.0,13.05,25413,0
2020-10-12,D,Digicontent Ord Shs,13.6,13.6,12.4,12.5,28867,0
2020-10-13,D,Digicontent Ord Shs,12.0,13.1,11.9,12.0,11160,1
2020-10-14,D,Digicontent Ord Shs,12.2,12.6,11.4,11.6,81182,0
2020-10-15,D,Digicontent Ord Shs,11.1,12.0,11.05,11.05,18434,0
2020-10-16,D,Digicontent Ord Shs,11.55,11.6,10.5,11.2,22492,0
